Name,Kategorie,Breitengrad,Laengengrad
Berufsmaturitätsschule Zürich,Schule,47.3782925,8.5314358
Haus der Farbe,Schule,47.4115721,8.5337577
Rudolf Steiner Schule Zürich,Schule,47.3729648,8.5545976
Klubschule Migros,Schule,47.4104775,8.5426205
Freie Evangelische Schule Zürich,Schule,47.3686105,8.5462762
Tagesschule Viso Parents,Schule,47.4071608,8.5444362
Juventus-Schulen,Schule,47.3776207,8.5326606
Klubschule Migros Tanzwerk 101,Schule,47.3898235,8.5083708
SBB Bildung,Schule,47.3897556,8.4933333
Login Berufsbildung,Schule,47.3898527,8.4930468
Atelierschule Zürich,Schule,47.3729757,8.5543678
Schule Pfingstweid,Schule,47.3875218,8.5157604
Brunau Stiftung,Schule,47.3599763,8.5207988
Klubschule Migros Altstetten,Schule,47.3917581,8.4917717
Klubschule Migros Limmatplatz,Schule,47.3857517,8.531279
Schule Zürich Nord,Schule,47.4143549,8.5398625
Provisorium der Schule Kornhaus,Schule,47.3866448,8.5262516
IST Höhere Fachschule für Tourismus,Schule,47.3821347,8.5318509
SAE Institute Zürich,Schule,47.3845883,8.4919049
Kunst- und Sportschule Zürich,Schule,47.4155558,8.5400402
Kantonale Berufsschule für Weiterbildung EB Zürich,Schule,47.3600293,8.5544906
Sprungbrett Montessori-Schule,Schule,47.3651941,8.5578231
Jüdische Schule NOAM,Schule,47.3603717,8.5309957
Heilpädagogische Schule Gotthelf,Schule,47.368432,8.5202996
Talmud Toire Chajei Oilom,Schule,47.3662506,8.5275785
Baugewerbliche Berufsschule Zürich,Schule,47.3784516,8.5311647
Kunst- & Sportschule Zürich,Schule,47.3783289,8.5247543
Hull's School,Schule,47.3656237,8.548774
Schule Dandelion,Schule,47.3813585,8.4879598
Schule für Kunst und Design Zürich,Schule,47.3618175,8.5124422
Juventus Schulen,Schule,47.3800683,8.5298792
Selbsthilfe Zürich,Schule,47.3650236,8.5642914
Zürcher Lehrbetriebsverband ICT,Schule,47.3602165,8.5207133
Academic Gateway,Schule,47.3739358,8.5350181
Heilpädagogische Schule,Schule,47.4144756,8.5620735
Benedict-Schule Zürich,Schule,47.3931481,8.4856659
RgZ Heilpädagogische Schule Zürich,Schule,47.4049412,8.5761297
Werkstätte Rauti RgZ,Schule,47.3818503,8.4885229
Atelier Heart Association,Schule,47.4141766,8.5609497
WISS Schulen für Wirtschaft Informatik Immobilien,Schule,47.3896536,8.4920445
Kinder Campus - Eingang Säule 04,Schule,47.3850881,8.5022361
Freie Evangelische Schule Zürich,Schule,47.3649505,8.5532551
FPZ Freie Primarschule Zürich,Schule,47.3895094,8.5156582
MODECO - Fachschule für Mode & Gestaltung,Schule,47.3647361,8.5529464
PRIMA Sonderschulung,Schule,47.3889905,8.4919714
Autonome Schule Zürich,Schule,47.3846417,8.5339166
SEK3 – Oberstufe für Gehörlose und Schwerhörige,Schule,47.3413953,8.5338799
Sonderschule Puls+ Abteilung Tulpenstrasse,Schule,47.4049562,8.5654368
Tagessonderschule Intermezzo,Schule,47.4180314,8.5567774
Stiftung m.a.c. – Sonderpädagogische Schule,Schule,47.3854719,8.5419658
Privatschule Toblerstrasse,Schule,47.3790657,8.5590774
Sonderpädagogische Tagesschule Toblerstrasse,Schule,47.379108,8.5590987
Academia International School Zürich,Schule,47.3765764,8.5343353
Aurum Schule Zürich,Schule,47.3648329,8.5312448
Dayschool Beckenhof,Schule,47.3834916,8.5413134
Gesamtschule Unterstrass,Schule,47.3925273,8.5362781
BBI Züri West,Schule,47.3927791,8.5109003
BERIT-EXBIT-Schule,Schule,47.378566,8.5301996
bke Bildungszentrum Kinderbetreuung,Schule,47.3931505,8.485668
FfD Fachschule für Detailhandel,Schule,47.3774632,8.5440328
Dr. Raebers Höhere Handelsschule,Schule,47.3651429,8.5310787
firstfloor Gestaltungsschule,Schule,47.3756212,8.514442
HSO Zürich-Oerlikon,Schule,47.4131415,8.5483576
Schule Minerva Zürich,Schule,47.3818918,8.5455529
SIU Schweizerisches Institut für Unternehmerschulung,Schule,47.3703693,8.5265067
SHT Schweizer Handelsschule für Tourismus,Schule,47.3884984,8.5230797
Schauspielschule Vera Forster,Schule,47.4057887,8.5541376
UNITED school of sports,Schule,47.3850308,8.5022883
Bais Yaakov Machon Chen,Schule,47.3619057,8.5127943
AGORA-Kolleg,Schule,47.3736751,8.4946539
SFK Schule für Förderkurse Zürich,Schule,47.3887489,8.5221662
Neue Schule Zürich,Schule,47.3835082,8.5475639
Gymnasium Dr. Buchmann,Schule,47.3768333,8.561613
KIBS Zürich Seebach,Schule,47.4235143,8.5531988
Kinderhaus Limmat,Schule,47.3966578,8.5110867
Lernatelier Tandem,Schule,47.3805547,8.5516899
LIPSCHULE,Schule,47.335407,8.5414351
Little Star Day School,Schule,47.356548,8.5237458
MIC Montessori Infant Community,Schule,47.3573161,8.5325427
Scuola Italiana Statale Bilingue,Schule,47.3780257,8.4967355
Schule Talenta Zürich,Schule,47.3858578,8.5418353
Schule und Kita am Käferberg,Schule,47.4084891,8.5427068
Talmud Toire Chajei Oilom,Schule,47.3659036,8.5222293
"Tandem IMS, Zürich",Schule,47.3585537,8.5542336
Freie Privatschule Zürich,Schule,47.3478076,8.5644682
Privatschule Firstclass,Schule,47.4135187,8.5576093
Privatschule A bis Z,Schule,47.4257179,8.5098522
LernCenter Zürich,Schule,47.3686165,8.5589345
Sekundarschule am Rigiplatz,Schule,47.3858674,8.5463793
SISZ SchülerInnenSchule Zürich,Schule,47.3742963,8.4823896
Enzian Sonderschule PULS+,Schule,47.4060458,8.5845909
Schule für Sehbehinderte,Schule,47.3850777,8.4861808
Logartis,Schule,47.3534556,8.5791482
KV Business School,Schule,47.3773147,8.535216
ISTL Office,Schule,47.4109396,8.5309013
SISZ Tagesschule,Schule,47.3742254,8.4821114
Lernstudio,Schule,47.3819111,8.5456909
kinder campus,Schule,47.3844657,8.4945248
Jakobs School,Schule,47.417622,8.5574082
CESMA,Schule,47.4173299,8.5549318
Kantonsschulen Freudenberg und Enge,Schule,47.3653963,8.5282498
Schule Buchlern,Schule,47.3840227,8.4787332
Schulhaus Neubühl,Schule,47.3333214,8.5327411
